Ipi,YEAR_,MONTH_,DATE_
90.2,1988,1,JAN 1988
96.5,1988,2,FEB 1988
103.4,1988,3,MAR 1988
95,1988,4,APR 1988
101.2,1988,5,MAY 1988
100.3,1988,6,JUN 1988
99.6,1988,7,JUL 1988
56.4,1988,8,AUG 1988
100.8,1988,9,SEP 1988
100.9,1988,10,OCT 1988
105.8,1988,11,NOV 1988
94.5,1988,12,DEC 1988
100.7,1989,1,JAN 1989
98.7,1989,2,FEB 1989
103.4,1989,3,MAR 1989
102.1,1989,4,APR 1989
104.8,1989,5,MAY 1989
107.7,1989,6,JUN 1989
104.6,1989,7,JUL 1989
60,1989,8,AUG 1989
105,1989,9,SEP 1989
107.3,1989,10,OCT 1989
108.8,1989,11,NOV 1989
92.7,1989,12,DEC 1989
105,1990,1,JAN 1990
98.9,1990,2,FEB 1990
108.4,1990,3,MAR 1990
96,1990,4,APR 1990
107.1,1990,5,MAY 1990
107.1,1990,6,JUN 1990
104.4,1990,7,JUL 1990
59.8,1990,8,AUG 1990
102.4,1990,9,SEP 1990
105.7,1990,10,OCT 1990
109.2,1990,11,NOV 1990
92.4,1990,12,DEC 1990
103.7,1991,1,JAN 1991
99,1991,2,FEB 1991
96.8,1991,3,MAR 1991
102.2,1991,4,APR 1991
104,1991,5,MAY 1991
102.3,1991,6,JUN 1991
104.5,1991,7,JUL 1991
58.9,1991,8,AUG 1991
102.8,1991,9,SEP 1991
111.8,1991,10,OCT 1991
106.1,1991,11,NOV 1991
95.3,1991,12,DEC 1991
100.3,1992,1,JAN 1992
101.1,1992,2,FEB 1992
104.3,1992,3,MAR 1992
98.3,1992,4,APR 1992
100.3,1992,5,MAY 1992
102.8,1992,6,JUN 1992
104.5,1992,7,JUL 1992
58.8,1992,8,AUG 1992
98.9,1992,9,SEP 1992
100.7,1992,10,OCT 1992
97.3,1992,11,NOV 1992
86.7,1992,12,DEC 1992
88.2,1993,1,JAN 1993
90.3,1993,2,FEB 1993
98,1993,3,MAR 1993
90.2,1993,4,APR 1993
95.3,1993,5,MAY 1993
96.8,1993,6,JUN 1993
97.5,1993,7,JUL 1993
56.9,1993,8,AUG 1993
97.2,1993,9,SEP 1993
97.1,1993,10,OCT 1993
99.6,1993,11,NOV 1993
92,1993,12,DEC 1993
91.1,1994,1,JAN 1994
95.2,1994,2,FEB 1994
103.5,1994,3,MAR 1994
97,1994,4,APR 1994
102.1,1994,5,MAY 1994
105.5,1994,6,JUN 1994
102.7,1994,7,JUL 1994
64.2,1994,8,AUG 1994
104.9,1994,9,SEP 1994
104.4,1994,10,OCT 1994
109.2,1994,11,NOV 1994
99.9,1994,12,DEC 1994
104.2,1995,1,JAN 1995
101.5,1995,2,FEB 1995
113.9,1995,3,MAR 1995
97.4,1995,4,APR 1995
112,1995,5,MAY 1995
112.7,1995,6,JUN 1995
106.2,1995,7,JUL 1995
67.4,1995,8,AUG 1995
105.6,1995,9,SEP 1995
108.1,1995,10,OCT 1995
110.4,1995,11,NOV 1995
95.2,1995,12,DEC 1995
102.7,1996,1,JAN 1996
102.4,1996,2,FEB 1996
106.4,1996,3,MAR 1996
98.3,1996,4,APR 1996
108.4,1996,5,MAY 1996
106.2,1996,6,JUN 1996
110.4,1996,7,JUL 1996
66.4,1996,8,AUG 1996
104.8,1996,9,SEP 1996
114.8,1996,10,OCT 1996
108.5,1996,11,NOV 1996
96.8,1996,12,DEC 1996
105.7,1997,1,JAN 1997
102.1,1997,2,FEB 1997
106.3,1997,3,MAR 1997
115.8,1997,4,APR 1997
111.6,1997,5,MAY 1997
114.3,1997,6,JUN 1997
119.5,1997,7,JUL 1997
71.7,1997,8,AUG 1997
115.8,1997,9,SEP 1997
125,1997,10,OCT 1997
115.5,1997,11,NOV 1997
106.9,1997,12,DEC 1997
110.5,1998,1,JAN 1998
114.2,1998,2,FEB 1998
121.3,1998,3,MAR 1998
112.4,1998,4,APR 1998
117.8,1998,5,MAY 1998
123.8,1998,6,JUN 1998
126.5,1998,7,JUL 1998
76.5,1998,8,AUG 1998
120,1998,9,SEP 1998
123.7,1998,10,OCT 1998
122,1998,11,NOV 1998
112,1998,12,DEC 1998
112.9,1999,1,JAN 1999
113.9,1999,2,FEB 1999
123.7,1999,3,MAR 1999
114.9,1999,4,APR 1999
121.5,1999,5,MAY 1999
126.1,1999,6,JUN 1999
128.3,1999,7,JUL 1999
81.1,1999,8,AUG 1999
125,1999,9,SEP 1999
123.4,1999,10,OCT 1999
128.4,1999,11,NOV 1999
118,1999,12,DEC 1999
118.5,2000,1,JAN 2000
125.2,2000,2,FEB 2000
136.3,2000,3,MAR 2000
114.8,2000,4,APR 2000
133.1,2000,5,MAY 2000
132.7,2000,6,JUN 2000
128.5,2000,7,JUL 2000
86.9,2000,8,AUG 2000
125.1,2000,9,SEP 2000
126.8,2000,10,OCT 2000
133.3,2000,11,NOV 2000
112.3,2000,12,DEC 2000
